Link,Title,Authors,MainIdea,Problems,Solutions,THRIVE,Implement
https://drive.google.com/file/d/1NwtQ75qm2fPQr9LKhP-FZXfEf4WoKwEK/view?usp=sharing,Black Women Earn Less Than White Men in Every State and Won’t Reach Pay Equity With White Men Nationally Until 2144,Institute for Women’s Policy Research,This article is a fact sheet that highlights the results of research conducted on the pay equity between black women and white men. Results show that black women earned 63.7 cents for every dollar earned by white men. Pay disparities varied highly depending on the state- but in every state black women were paid substantially less than white men.,"The COVID pandemic highlighted The extreme racial and gendered inequalities that black women face in The labor market. + The article identified several reasons behind black women’s lower earnings: discrimination in recruitment/hiring/pay/promotions, undervaluation of care work, insufficient investment in public care infrastructure, and lack of well-developed employment rights.","The article recommends equity-focused policies to address low pay and achieve equal pay. + Strengthened and updated equal pay laws, wage transparency, minimum wage increase, and better enforcement assistance in the workplace.",Livability; Economic Stability,Recommend equity-focused policies that can help address wage inequalities and examine current workplace harassment laws to see what can be strengthened within. + Advocate for minimum wage increase and for wage transparency.
https://drive.google.com/file/d/1XpC4dPrCaxYdx_N-rqMhyjvWUHyp8FZ9/view?usp=sharing,Sentencing Repeat Offenders of Violent and Serious Crime in Florida (PRR),Florida Sheriffs Association Research Institute,"Florida’s Prison Release Reoffender (PRR) law mandates maximum sentencing without parole for individuals who commit violent felonies within three years of release from prison, the background, application, and critiques of which this report details.","High recidivism among a small group of violent, repeat offenders; low engagement in reentry and rehabilitative programs; limited sentencing incentives for rehabilitation participation;  PRR laws remove judicial discretion and do not account for root causes like trauma, poverty, or addiction; reentry barriers (e.g. housing, employment) increase risk of re-offense; PRR statute mandates full sentence without parole for specific repeat violent offenses; programs DO exist within FDOC (e.g., PRIDE job training, education, life skills) but have very low participation (under 10%)","Increasing incentives for program engagement (e.g., reducing sentence for participation)	",Livability; Community & Social Connection,"Advocate for reentry programming tied to meaningful incentives (e.g., sentence reduction or housing/job guarantees); partner with employers and nonprofits to expand post-release employment, housing, and case management; fund/target trauma-informed, cognitive-behavioral, substance use recovery programs pre- and post-release; incorporate second-chance hiring initiatives and transitional housing into THRIVE’s economic mobility strategies"
https://drive.google.com/file/d/1soiEVw5yPhsyUIH3IDEiV7LSjdFPTj6i/view?usp=sharing,Planetary Health is Public Health,Public Health Communications Collaborative,"Planetary health as a concept examines the multilayered effects on the environment caused by human behavior, demographics, and other complex societal and governmental systems. The interconnectedness of public and planetary health calls for the careful consideration of our impact upon Earth’s various systems.","The various issues identified within this article are not necessarily Central Florida-specific, but instead may or may not have relevance in The region + Air pollution, biodiversity loss, chemical pollution, land use, nutrient overloading, marine degradation, resource scarcity, and climate change are all amongst The human-caused environmental changes that affect public health.","Promote The limitation of human-caused environmental changes: limit vehicle emissions and power plants, use of natural sources that are at risk of biodiversity loss, and cosmetics that contain toxic chemicals.",Livability; Community & Social Connection,Find and empower public health communicators to use community stories to relate The issue of planetary health and lessen how abstract it seems. it is important to use plain language and to combine alarming facts with actionable steps for change. + lessen The negative impact of rampant disinformation and misinformation regarding planetary health by providing accurate information and a clear narrative.
https://drive.google.com/file/d/1fj-5GAfVpppsU6h0B-U0rmeMYK72CQrV/view?usp=sharing,"Houston and Harris County
Residents' Experiences With
Perceived Crimes and Incidents
Motivated by Bias and Prejudice
",Katherine Perez and Daniel Potter,"Nearly half of respondent residents reported being victims of a crime or incident, and a third perceived it was motivated by bias against protected traits (race, gender, religion, etc.). ",High rates of perceived crime and harassment; underreporting due to mistrust in LE and belief “nothing would be done”; lack of mechanisms for non-LEO community-based hate incident response; coordination gap; revalence of unreported incidents that may never meet legal criteria as hate crimes but still cause harm,Encourage public discourse and data collection on hate; build cross-sector coalitions like the former Houston Coalition Against Hate,Livability; Community & Social Connection,Launch a CF Community Anti-Bias Task Force modeled after coalitions like Houston’s; work with LE to produce culturally specific victim services and anonymous reporting mechanisms; community liaisons or credible messengers into police departments to build trust and facilitate reporting; -host community listening sessions to uncover hidden incidents and strengthen communal resilience
https://drive.google.com/file/d/13XuBLi4erGsQDnNz1_9-3FuwkjDMiYo-/view?usp=sharing,Arches Reduces Recidivism Among Young Adults on Probation,NYC Mayor's Office for Economic Opportunity,"NYC's implementation of Arches, a group-based mentoring program for young adults on probation, reduces felony reconviction and improves self-perception by pairing participants with “credible messengers” and cognitive-behavioral support","High recidivism among young adults on probation; lack of culturally relevant or “credible” mentoring and trauma-informed support & inconsistent curriculum delivery; need for stronger service coordination and mentor training; structural barriers to engagement (e.g. rigid schedules, limited referrals","Group mentoring with 24/7 access to “credible messengers”; Arches-like cognitive-behavioral journaling and flexible programming structure; support for emotional regulation, future planning, and attitudinal change",Livability; Community & Social Connection,Rolling-enrollment Central Florida Arches-style mentorship program using credible messengers and a healing-centered curriculum
,Carbon inequality kills: Why curbing the excessive emissions of an elite few can create a sustainable planet for all. ,"Mira Alestig, Nafkote Dabi, Abha Jeurkar and Alex Maitland. ","The report reveals that the super-rich, particularly the wealthiest 1%, are emitting disproportionately large amounts of carbon (via jets, yachts, and investments), driving climate breakdown, exacerbating inequity, and causing excess deaths, and argues for urgent policies like progressive wealth and carbon taxes to constrain extreme emissions. 
","This report is not region-specific, but its findings resonate in Central Florida: excessive luxury travel, investment-linked emissions, and unchecked consumption by elites contribute to regional air, water, and heat inequities that disproportionately impact low-income and BIPOC communities. 
","Oxfam advocates for targeted policies: carbon wealth taxes, luxury transport levies, and redirecting high-emitting investments into low-carbon assets. These are measures CF could champion at the state level to curb elite emissions and fund equitable climate resilience. ",Livability ,"THRIVE can evaluate local data to quantify elite carbon footprints, build coalitions to advocate for local/state-level carbon taxes or jet/boat levies, create public awareness on carbon inequality’s local harms, and mobilize philanthropic funds to support equitable climate interventions in Central Florida."
https://drive.google.com/file/d/1YeIFw2w5IKMSZH_COuVkEyRa8OonlFeQ/view?usp=sharing,Green Space: An Underestimated Tool to Create MoreEqualCities,"Delfina Grinspan, John-Rob Pool, Ayushi Trivedi, James Anderson, and Mathilde Bouyé",There is a direct relationship between urban tree cover and income as a result of historic inequality. A lack of urban tree cover can have negative impacts on the surrounding community. ,"Unequal distribution of urban green spaces can lead to green gentrification, urban heat island effect, aue pollution and resulting health impacts, and stormwater flooding. ","Establish strong political leadership (prioritizes underserved communities), engage communities meaningfully (partner with local organizations), develop innovative funding models (impact bonds, equity criteria, etc.)",Livability,Partner with local organizations to develop and ensure agency in restoration/conservation plans. Advocate for urban green spaces faciliated by innovative funding. 
https://drive.google.com/file/d/1XBzav0ePff2J4fNGz65kERIQriHUCyK-/view?usp=sharing,“How Did We Grow? An Analysis of Growth in Central Florida (2007–2017),East Central Florida Regional Planning Council,"The report evaluates a decade of population, environmental, and infrastructure growth across Central Florida following the How Shall We Grow? regional vision. It examines progress toward sustainable, connected development centered on the “Four Cs”: Conservation, Countryside, Centers, and Corridors.","Uneven growth across counties causing environmental strain.
Rising commute times and greenhouse gas emissions.
Water consumption rising faster than conservation efforts.","Expand transit-oriented development (e.g., SunRail corridors).
Implement smart water use targets (≤90 gallons/person/day).",Livability,"Support regional smart-growth partnerships connecting housing, transport, and conservation.
Promote policy advocacy for balanced development and resource protection.
Collaborate on community resilience initiatives tied to water and land use."
https://drive.google.com/file/d/1XbVkh1b2Sm9JiPLMQHeehuBsuyraX8mf/view?usp=sharing,Transitions into and out of Poverty in the United States,Ann Huff Stevens,"Transitions into and out of poverty are driven by individual events (e.g. family changes) & macroeconomic forces (e.g. wage levels, unemployment). Improving workforce attachment and stabilizing incomes  key to reducing long-term poverty","Low wages among bottom earners; high regional unemployment rates; poor job retention among low-income individuals; increased vulnerability to poverty from family structure changes (e.g., divorce); long durations in poverty reduce the odds of escape; high re-entry rates into poverty, especially for single-parent and African American households","Boosting real wages at the 20th percentile; increasing weeks of paid employment per year; stabilizing employment during recessions to prevent re-entry into poverty; addressing family-structure vulnerabilities that lead to income shocks; reducing barriers to full-time employment for single heads of household; support programs for recently exited individuals to prevent re-entry

",Livability,Support regional employers in creating guaranteed minimum hours contracts or predictable scheduling; launch a community workforce stability initiative to help low-income workers increase annual work weeks; develop emergency income-stabilization grants tied to sudden family transitions (e.g. divorce); partner with childcare networks and transportation providers to reduce obstacles to year-round employment for single parents; advocate wage supplements or employer-side incentives to raise wages at the 20th percentile; data tool to track employment spells and poverty re-entry risk among vulnerable demographics in CF; build “transition navigator” teams that assist families through disruptive life events that could lead to poverty
https://drive.google.com/file/d/1x6UKqXTRdC8THrh_3yqvJ9ryzGwoxwH8/view?usp=sharing,County Health Rankings & Roadmaps 2019 – Florida,Robert Wood Johnson Foundation,"Health outcomes and health factors in Florida counties vary dramatically by geography/race/ethnicity, pointing to inequities in housing, income, education, & healthcare access; systemic and place-based disparities drive long-term health differences","Significant health disparities across counties; residents of color experiencing health outcomes akin to least healthy counties; children in poverty rates up to 47% in some counties; severe housing cost burdens affect 18% of households; racial disparities in homeownership; toxic housing conditions (lead, mold, smoke)","Inclusive zoning, land trusts, tax credits for affordable housing",Livability,Coordinate county governments to expand Housing Choice Voucher access with wraparound supports
